"","id","first_name","height_feet","height_inches","last_name","position","weight_pounds","team.id","team.abbreviation","team.city","team.conference","team.division","team.full_name","team.name"
"1300",1774,"Joel",NA,NA,"Anthony","",NA,16,"MIA","Miami","East","Southeast","Miami Heat","Heat"
"1301",1775,"Spencer",NA,NA,"Hawes","",NA,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings"
"1302",1776,"Brandon",NA,NA,"Wallace","",NA,2,"BOS","Boston","East","Atlantic","Boston Celtics","Celtics"
"1303",1777,"Aaron",NA,NA,"Brooks","",NA,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets"
"1304",1778,"Cheikh",NA,NA,"Samb","",NA,9,"DET","Detroit","East","Central","Detroit Pistons","Pistons"
"1305",1779,"Kosta",NA,NA,"Perovic","",NA,10,"GSW","Golden State","West","Pacific","Golden State Warriors","Warriors"
"1306",1780,"Thomas",NA,NA,"Gardner","",NA,5,"CHI","Chicago","East","Central","Chicago Bulls","Bulls"
"1307",1781,"Carl",NA,NA,"Landry","",NA,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets"
"1308",1782,"Josh",NA,NA,"McRoberts","",NA,25,"POR","Portland","West","Northwest","Portland Trail Blazers","Trail Blazers"
"1309",1783,"Kyrylo",NA,NA,"Fesenko","",NA,29,"UTA","Utah","West","Northwest","Utah Jazz","Jazz"
"1310",1784,"Rodney",NA,NA,"Stuckey","",NA,9,"DET","Detroit","East","Central","Detroit Pistons","Pistons"
"1311",1785,"Marcus",NA,NA,"Williams","",NA,27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs"
"1312",1786,"Keith",NA,NA,"Langford","",NA,27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs"
"1313",1787,"Guillermo",NA,NA,"Diaz","",NA,13,"LAC","LA","West","Pacific","LA Clippers","Clippers"
"1314",1788,"C.J.",NA,NA,"Watson","",NA,10,"GSW","Golden State","West","Pacific","Golden State Warriors","Warriors"
"1315",1789,"Adam",NA,NA,"Haluska","",NA,19,"NOP","New Orleans","West","Southwest","New Orleans Pelicans","Pelicans"
"1316",1790,"JamesOn",NA,NA,"Curry","",NA,5,"CHI","Chicago","East","Central","Chicago Bulls","Bulls"
"1317",1791,"Ramon",NA,NA,"Sessions","",NA,17,"MIL","Milwaukee","East","Central","Milwaukee Bucks","Bucks"
"1318",1792,"Mike",NA,NA,"Harris","",NA,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets"
"1319",1793,"Lance",NA,NA,"Allred","",NA,6,"CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers"
"1320",1794,"Blake",NA,NA,"Ahearn","",NA,16,"MIA","Miami","East","Southeast","Miami Heat","Heat"
"1321",1795,"Kasib",NA,NA,"Powell","",NA,16,"MIA","Miami","East","Southeast","Miami Heat","Heat"
"1322",1796,"JJ",NA,NA,"Hickson","",NA,6,"CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers"
"1323",1797,"Joe",NA,NA,"Alexander","",NA,17,"MIL","Milwaukee","East","Central","Milwaukee Bucks","Bucks"
"1324",1798,"Greg",NA,NA,"Oden","C",NA,25,"POR","Portland","West","Northwest","Portland Trail Blazers","Trail Blazers"
"1325",1799,"Rudy",NA,NA,"Fernandez","",NA,25,"POR","Portland","West","Northwest","Portland Trail Blazers","Trail Blazers"
"1326",1800,"Chris",NA,NA,"Douglas-Roberts","",NA,3,"BKN","Brooklyn","East","Atlantic","Brooklyn Nets","Nets"
"1327",1801,"Mario",NA,NA,"Chalmers","G",NA,16,"MIA","Miami","East","Southeast","Miami Heat","Heat"
"1328",1802,"Kyle",NA,NA,"Weaver","",NA,21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder"
"1329",1803,"Brandon",NA,NA,"Rush","",NA,12,"IND","Indiana","East","Central","Indiana Pacers","Pacers"
"1330",1804,"Roy",NA,NA,"Hibbert","",NA,12,"IND","Indiana","East","Central","Indiana Pacers","Pacers"
"1331",1805,"DeMarcus",NA,NA,"Nelson","G",NA,10,"GSW","Golden State","West","Pacific","Golden State Warriors","Warriors"
"1332",1806,"Anthony",NA,NA,"Randolph","",NA,10,"GSW","Golden State","West","Pacific","Golden State Warriors","Warriors"
"1333",1807,"Sean",NA,NA,"Singletary","",NA,24,"PHX","Phoenix","West","Pacific","Phoenix Suns","Suns"
"1334",1808,"Jason",NA,NA,"Thompson","",NA,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings"
"1335",1809,"Bobby",NA,NA,"Brown","",NA,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings"
"1336",1810,"Mike",NA,NA,"Taylor","",NA,13,"LAC","LA","West","Pacific","LA Clippers","Clippers"
"1337",1811,"O.J.",NA,NA,"Mayo","G",NA,15,"MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies"
"1338",1812,"Darrell",NA,NA,"Arthur","",NA,15,"MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies"
"1339",1813,"Hamed",NA,NA,"Haddadi","",NA,15,"MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies"
"1340",1814,"Joey",NA,NA,"Dorsey","",NA,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets"
