"","id","date","home_team_score","period","postseason","season","status","time","visitor_team_score","home_team.id","home_team.abbreviation","home_team.city","home_team.conference","home_team.division","home_team.full_name","home_team.name","visitor_team.id","visitor_team.abbreviation","visitor_team.city","visitor_team.conference","visitor_team.division","visitor_team.full_name","visitor_team.name","team_id","elo_i","Days_Off","PER","VORP","WS48","BPM"
"1",30608,"2012-10-30T00:00:00.000Z",94,4,FALSE,2012,"Final"," ",84,6,"CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers",30,"WAS","Washington","East","Southeast","Washington Wizards","Wizards",6,1346.9901,10,74.19375,2.87916666666667,0.3975625,-1.64791666666667
"2",30074,"2012-11-02T00:00:00.000Z",86,4,FALSE,2012,"Final"," ",115,6,"CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers",5,"CHI","Chicago","East","Central","Chicago Bulls","Bulls",6,1357.5148,3,67.4083333333333,2.3625,0.322854166666667,-5.36041666666667
"3",30712,"2012-11-03T00:00:00.000Z",105,4,FALSE,2012,"Final"," ",102,17,"MIL","Milwaukee","East","Central","Milwaukee Bucks","Bucks",6,"CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers",6,1345.7418,1,72.2875,2.50416666666667,0.3824375,-2.6
"4",31660,"2012-11-05T00:00:00.000Z",101,4,FALSE,2012,"Final"," ",108,13,"LAC","LA","West","Pacific","LA Clippers","Clippers",6,"CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers",6,1344.1774,2,74.3166666666667,2.68125,0.394895833333333,-2.56875
"5",30716,"2012-11-07T00:00:00.000Z",106,4,FALSE,2012,"Final"," ",96,10,"GSW","Golden State","West","Pacific","Golden State Warriors","Warriors",6,"CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers",6,1363.8313,2,59.3729166666667,2.0625,0.2011875,-11.4520833333333
"6",31119,"2012-11-09T00:00:00.000Z",107,4,FALSE,2012,"Final"," ",105,24,"PHX","Phoenix","West","Pacific","Phoenix Suns","Suns",6,"CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers",6,1358.7621,2,72.2541666666667,3.01041666666667,0.368583333333333,-3.60833333333333
"7",30721,"2012-11-11T00:00:00.000Z",106,4,FALSE,2012,"Final"," ",91,21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder",6,"CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers",6,1357.2145,2,66.55,2.48958333333333,0.297083333333333,-6.76666666666667
"8",31665,"2012-11-13T00:00:00.000Z",114,4,FALSE,2012,"Final"," ",101,3,"BKN","Brooklyn","East","Atlantic","Brooklyn Nets","Nets",6,"CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers",6,1355.3453,2,69.5708333333333,2.8,0.3219375,-5.15833333333333
"9",31263,"2012-11-17T00:00:00.000Z",95,4,FALSE,2012,"Final"," ",103,6,"CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers",7,"DAL","Dallas","West","Southwest","Dallas Mavericks","Mavericks",6,1349.272,4,72.175,2.14791666666667,0.3754375,-3.15416666666667
"10",31798,"2012-11-18T00:00:00.000Z",86,4,FALSE,2012,"Final"," ",79,23,"PHI","Philadelphia","East","Atlantic","Philadelphia 76ers","76ers",6,"CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers",6,1341.788,1,76.40625,2.79166666666667,0.403416666666667,-1.31041666666667
