"","id","date","home_team_score","period","postseason","season","status","time","visitor_team_score","home_team.id","home_team.abbreviation","home_team.city","home_team.conference","home_team.division","home_team.full_name","home_team.name","visitor_team.id","visitor_team.abbreviation","visitor_team.city","visitor_team.conference","visitor_team.division","visitor_team.full_name","visitor_team.name","team_id","elo_i","Days_Off","PER","VORP","WS48","BPM"
"1",30071,"2012-10-31T00:00:00.000Z",96,4,FALSE,2012,"Final"," ",105,9,"DET","Detroit","East","Central","Detroit Pistons","Pistons",11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets",11,1501.2556,10,77.9479166666667,10.05625,0.617583333333333,5.29375
"2",31252,"2012-11-02T00:00:00.000Z",102,4,FALSE,2012,"Final"," ",109,1,"ATL","Atlanta","East","Southeast","Atlanta Hawks","Hawks",11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets",11,1512.0774,2,75.8541666666667,9.13541666666667,0.581041666666667,3.74791666666667
"3",31253,"2012-11-03T00:00:00.000Z",85,4,FALSE,2012,"Final"," ",95,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets",25,"POR","Portland","West","Northwest","Portland Trail Blazers","Trail Blazers",11,1524.9491,1,83.7979166666667,10.09375,0.64225,3.90416666666667
"4",31256,"2012-11-07T00:00:00.000Z",87,4,FALSE,2012,"Final"," ",93,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets",8,"DEN","Denver","West","Northwest","Denver Nuggets","Nuggets",11,1507.6,4,74.84375,9.21875,0.574,3.91458333333333
"5",30849,"2012-11-09T00:00:00.000Z",93,4,FALSE,2012,"Final"," ",85,15,"MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies",11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets",11,1498.4143,2,77.1416666666667,9.68958333333333,0.593041666666667,5.0125
"6",31529,"2012-11-10T00:00:00.000Z",96,4,FALSE,2012,"Final"," ",82,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets",9,"DET","Detroit","East","Central","Detroit Pistons","Pistons",11,1494.7465,1,75.2166666666667,8.27916666666667,0.582270833333333,3.76666666666667
"7",30623,"2012-11-12T00:00:00.000Z",110,4,FALSE,2012,"Final"," ",113,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets",16,"MIA","Miami","East","Southeast","Miami Heat","Heat",11,1500.2191,2,77.7208333333333,9.64375,0.601416666666667,5.29791666666667
"8",31124,"2012-11-14T00:00:00.000Z",100,4,FALSE,2012,"Final"," ",96,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets",19,"NOP","New Orleans","West","Southwest","New Orleans Pelicans","Pelicans",11,1495.6868,2,77.7,9.28958333333333,0.611125,4.68125
"9",30724,"2012-11-16T00:00:00.000Z",119,4,FALSE,2012,"Final"," ",117,25,"POR","Portland","West","Northwest","Portland Trail Blazers","Trail Blazers",11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets",11,1499.2172,2,85.7645833333333,9.97916666666667,0.666645833333333,4.22916666666667
"10",31404,"2012-11-18T00:00:00.000Z",119,4,FALSE,2012,"Final"," ",108,14,"LAL","Los Angeles","West","Pacific","Los Angeles Lakers","Lakers",11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets",11,1495.3848,2,75.9291666666667,8.06458333333333,0.584375,3.12083333333333
"11",30629,"2012-11-19T00:00:00.000Z",102,4,FALSE,2012,"Final"," ",91,29,"UTA","Utah","West","Northwest","Utah Jazz","Jazz",11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets",11,1489.3103,1,73.5541666666667,5.9625,0.556104166666667,1.8
"12",30088,"2012-11-21T00:00:00.000Z",93,4,FALSE,2012,"Final"," ",89,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets",5,"CHI","Chicago","East","Central","Chicago Bulls","Bulls",11,1483.4855,2,79.6291666666667,9.19791666666667,0.636875,4.31041666666667
"13",30089,"2012-11-23T00:00:00.000Z",131,4,FALSE,2012,"Final"," ",103,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets",20,"NYK","New York","East","Atlantic","New York Knicks","Knicks",11,1489.4324,2,75.78125,8.49166666666667,0.5793125,3.51041666666667
"14",30094,"2012-11-27T00:00:00.000Z",117,4,FALSE,2012,"Final"," ",101,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets",28,"TOR","Toronto","East","Atlantic","Toronto Raptors","Raptors",11,1512.0646,4,78.6916666666667,9.62708333333333,0.6151875,4.76041666666667
"15",30734,"2012-11-28T00:00:00.000Z",120,4,FALSE,2012,"Final"," ",98,21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder",11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets",11,1517.8135,1,72.8229166666667,6.9125,0.518291666666667,1.125
"16",30097,"2012-12-01T00:00:00.000Z",124,4,FALSE,2012,"Final"," ",116,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets",29,"UTA","Utah","West","Northwest","Utah Jazz","Jazz",11,1511.9972,3,79.1270833333333,9.44583333333333,0.629875,4.97291666666667
"17",31417,"2012-12-04T00:00:00.000Z",107,4,FALSE,2012,"Final"," ",105,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets",14,"LAL","Los Angeles","West","Pacific","Los Angeles Lakers","Lakers",11,1518.9464,3,77.1375,8.83541666666667,0.6220625,4.57291666666667
"18",31278,"2012-12-07T00:00:00.000Z",114,4,FALSE,2012,"Final"," ",92,27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs",11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets",11,1522.379,3,78.5041666666667,7.76041666666667,0.6045625,3.14375
"19",31144,"2012-12-08T00:00:00.000Z",109,4,FALSE,2012,"Final"," ",116,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets",7,"DAL","Dallas","West","Southwest","Dallas Mavericks","Mavericks",11,1517.7433,1,76.3875,10.0645833333333,0.596541666666667,5.24166666666667
"20",32347,"2012-12-10T00:00:00.000Z",126,4,FALSE,2012,"Final"," ",134,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets",27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs",11,1504.5591,2,76.65,5.72916666666667,0.5706875,-0.254166666666667
