"","id","first_name","last_name","team","PER","WS.48","BPM","VORP"
"387",2012,"Andrew","Nicholson","ORL",15.1,0.065,-2.7,-0.2
"388",1763,"Glen","Davis","ORL",15,0.035,-1.9,0
"389",200,"Tobias","Harris","ORL",17,0.092,0,0.5
"390",2017,"DeQuan","Jones","ORL",8.4,0.007,-4.5,-0.5
"391",1551,"Beno","Udrih","ORL",14.9,0.073,-1.3,0.1
"392",1782,"Josh","McRoberts","ORL",10.2,0.051,-1.9,0
"393",352,"Kyle","O'Quinn","ORL",15.8,0.107,-1.6,0.1
"394",1952,"Gustavo","Ayón","ORL",11.7,0.061,-2,0
"395",422,"Ish","Smith","ORL",7.2,-0.073,-5.2,-0.3
"396",2010,"Doron","Lamb","ORL",6.5,0.01,-5.7,-0.3
"397",1290,"Hedo","Türkoğlu","ORL",3.4,-0.116,-8.2,-0.3
"398",1172,"Al","Harrington","ORL",10.3,-0.012,-4.5,-0.1
"399",214,"Jrue","Holiday","PHI",16.7,0.055,0.5,1.9
"400",451,"Evan","Turner","PHI",12.1,0.035,-2.3,-0.3
"401",489,"Thaddeus","Young","PHI",18.2,0.136,1.2,2.1
"402",1775,"Spencer","Hawes","PHI",16,0.096,-0.5,0.9
"403",1587,"Dorell","Wright","PHI",16,0.132,2.6,2.1
"404",1959,"Lavoy","Allen","PHI",11.5,0.072,-3.3,-0.6
"405",1746,"Nick","Young","PHI",13.3,0.079,-0.7,0.5
"406",1538,"Damien","Wilkins","PHI",12.5,0.083,-2.2,-0.1
"407",1372,"Jason","Richardson","PHI",12.6,0.07,-0.5,0.4
"408",1543,"Royal","Ivey","PHI",8.1,0.066,-2.8,-0.1
"409",2003,"Arnett","Moultrie","PHI",16.7,0.149,-1.2,0.1
"410",1368,"Kwame","Brown","PHI",8.8,0.071,-4.9,-0.2
"411",1936,"Jeremy","Pargo","PHI",8.4,0.006,-4.4,-0.1
"412",2002,"Maalik","Wayns","PHI",1.8,-0.147,-12.4,-0.4
"413",1930,"Charles","Jenkins","PHI",8.6,0.021,-4,-0.1
"414",215,"Justin","Holiday","PHI",7.6,-0.042,-5,-0.1
"415",291,"Shelvin","Mack","PHI",-6.4,-0.348,-17.9,0
"416",136,"Goran","Dragić","PHO",17.5,0.106,1.4,2.2
"417",1739,"Luis","Scola","PHO",16.7,0.096,-0.5,0.8
"418",138,"Jared","Dudley","PHO",14.9,0.106,0.6,1.5
"419",450,"P.J.","Tucker","PHO",11.6,0.074,-1.5,0.2
"420",179,"Marcin","Gortat","PHO",15.4,0.086,-0.5,0.7
"421",329,"Markieff","Morris","PHO",12.6,0.044,-1.9,0
"422",39,"Michael","Beasley","PHO",10.8,-0.047,-4.7,-1.1
"423",1708,"Shannon","Brown","PHO",13.1,0.041,-1.6,0.2
"424",1059,"Jermaine","O'Neal","PHO",16.7,0.092,-1.3,0.2
"425",245,"Wesley","Johnson","PHO",10.3,0,-3.3,-0.3
"426",1547,"Sebastian","Telfair","PHO",10.9,0.042,-1.7,0.1
"427",1999,"Kendall","Marshall","PHO",7.8,-0.012,-5.2,-0.6
"428",328,"Marcus","Morris","PHO",8.6,-0.022,-4.4,-0.2
"429",1813,"Hamed","Haddadi","PHO",11.2,0,-6.5,-0.3
"430",2019,"Diante","Garrett","PHO",9,-0.073,-4.4,-0.1
"431",2000,"Luke","Zeller","PHO",5.6,-0.047,-7.2,-0.1
"432",278,"Damian","Lillard","POR",16.4,0.088,0.3,1.8
"433",33,"Nicolas","Batum","POR",15.7,0.099,2.8,3.4
"434",6,"LaMarcus","Aldridge","POR",20.4,0.124,1.3,2.3
"435",301,"Wesley","Matthews","POR",14.1,0.093,0.5,1.5
"436",1796,"J.J.","Hickson","POR",19.7,0.142,0.2,1.3
"437",275,"Meyers","Leonard","POR",12.1,0.097,-3.3,-0.4
"438",31,"Will","Barton","POR",9.1,-0.028,-4.6,-0.6
"439",1985,"Victor","Claver","POR",7,-0.005,-3.7,-0.3
"440",1879,"Luke","Babbitt","POR",9.4,0.047,-2.4,-0.1
"441",1848,"Eric","Maynor","POR",10.6,0.016,-4.2,-0.3
"442",1484,"Sasha","Pavlović","POR",6.2,0.009,-3.3,-0.2
"443",1598,"Ronnie","Price","POR",6.8,-0.017,-4.9,-0.4
"444",1986,"Joel","Freeland","POR",9.3,0.022,-5.4,-0.4
"445",1418,"Jared","Jeffries","POR",2.4,-0.042,-7.4,-0.5
"446",1943,"Nolan","Smith","POR",7.1,-0.082,-6.9,-0.4
"447",107,"DeMarcus","Cousins","SAC",20.2,0.092,0.2,1.2
"448",1808,"Jason","Thompson","SAC",14.6,0.075,-2.6,-0.3
"449",1406,"John","Salmons","SAC",10.2,0.034,-2.5,-0.3
"450",440,"Isaiah","Thomas","SAC",17.5,0.114,0.5,1.3
"451",150,"Tyreke","Evans","SAC",18.1,0.105,1.8,1.9
"452",1864,"Marcus","Thornton","SAC",16.3,0.089,0.3,1
"453",1661,"Chuck","Hayes","SAC",10.7,0.06,-1.4,0.2
"454",1938,"Jimmer","Fredette","SAC",14.6,0.052,-1.3,0.2
"455",1777,"Aaron","Brooks","SAC",12.1,0.045,-2.1,0
"456",242,"James","Johnson","SAC",10.2,-0.028,-3.5,-0.3
"457",1996,"Thomas","Robinson","SAC",10.6,-0.01,-5.6,-0.7
"458",1597,"Francisco","García","SAC",10.5,0.04,-0.6,0.3
"459",365,"Patrick","Patterson","SAC",14.5,0.09,-0.6,0.2
"460",1512,"Travis","Outlaw","SAC",13,0.037,-2.4,0
"461",1850,"Toney","Douglas","SAC",16,0.11,1.8,0.4
"462",1896,"Cole","Aldrich","SAC",15.7,0.109,-0.5,0.1
"463",1939,"Tyler","Honeycutt","SAC",1.9,-0.22,-13.2,-0.1
"464",184,"Danny","Green","SAS",14.1,0.128,2.8,2.7
"465",363,"Tony","Parker","SAS",23,0.206,3.6,3.1
"466",1089,"Tim","Duncan","SAS",24.4,0.191,5.3,3.8
"467",1906,"Tiago","Splitter","SAS",18.7,0.197,2.2,2.1
"468",274,"Kawhi","Leonard","SAS",16.4,0.166,3.1,2.3
"469",1479,"Boris","Diaw","SAS",11.9,0.124,0.8,1.2
"470",1898,"Gary","Neal","SAS",11.5,0.06,-2,0
"471",1412,"Manu","Ginóbili","SAS",19,0.155,3.6,2
"472",1280,"Stephen","Jackson","SAS",8,0.013,-3.5,-0.4
"473",1992,"Nando","De Colo","SAS",11.1,0.07,-1.2,0.2
"474",1550,"Matt","Bonner","SAS",11.8,0.133,0.2,0.5
"475",1843,"DeJuan","Blair","SAS",14.6,0.126,-1.6,0.1
"476",319,"Patty","Mills","SAS",14.1,0.109,0.2,0.4
"477",251,"Cory","Joseph","SAS",13.5,0.113,-0.4,0.2
"478",35,"Aron","Baynes","SAS",8.8,0.05,-7,-0.2
"479",1897,"James","Anderson","SAS",13,0.109,0.4,0.1
"480",125,"DeMar","DeRozan","TOR",14.7,0.075,-1.4,0.4
"481",241,"Amir","Johnson","TOR",17.3,0.151,1,1.8
"482",286,"Kyle","Lowry","TOR",17.5,0.133,2.9,2.5
"483",1647,"Alan","Anderson","TOR",12.6,0.052,-1.8,0.1
"484",455,"Jonas","Valanciunas","TOR",15.6,0.127,-1.2,0.3
"485",80,"Jose","Calderon","TOR",19.2,0.167,3.6,1.8
"486",402,"Terrence","Ross","TOR",10.4,0.034,-2.5,-0.1
"487",171,"Rudy","Gay","TOR",17.6,0.068,1.9,1.1
"488",118,"Ed","Davis","TOR",18.1,0.147,0.4,0.6
"489",1885,"Landry","Fields","TOR",10.3,0.052,-1.8,0.1
"490",1700,"Andrea","Bargnani","TOR",11.2,0.007,-2.7,-0.2
"491",1656,"John","Lucas","TOR",12.8,0.061,-0.6,0.3
"492",1743,"Aaron","Gray","TOR",9,0.05,-4.3,-0.3
"493",1489,"Mickael","Pietrus","TOR",6,-0.004,-4.8,-0.3
"494",1609,"Linas","Kleiza","TOR",8.2,0.013,-5.4,-0.3
"495",2020,"Quincy","Acy","TOR",15.9,0.157,0.1,0.2
"496",1747,"Dominic","McGuire","TOR",7.5,0.045,-2.8,0
"497",1547,"Sebastian","Telfair","TOR",10.7,0.029,-1.7,0
"498",1553,"Al","Jefferson","UTA",20.9,0.143,2.4,2.8
"499",318,"Paul","Millsap","UTA",19.8,0.154,2.7,2.8
"500",1677,"Randy","Foye","UTA",11.7,0.08,-0.6,0.8
"501",204,"Gordon","Hayward","UTA",16.8,0.123,2,2.1
"502",153,"Derrick","Favors","UTA",17.5,0.117,-0.5,0.7
"503",482,"Marvin","Williams","UTA",10.9,0.063,-1.2,0.4
"504",1486,"Mo","Williams","UTA",14.4,0.062,-0.9,0.4
"505",1344,"Jamaal","Tinsley","UTA",10.6,0.035,-1.5,0.2
"506",77,"Alec","Burks","UTA",11.5,0.044,-2.6,-0.2
"507",84,"DeMarre","Carroll","UTA",15.5,0.134,1.3,0.9
"508",253,"Enes","Kanter","UTA",17.6,0.101,-2.1,0
"509",1342,"Earl","Watson","UTA",7.7,0.001,-3.5,-0.3
"510",1890,"Jeremy","Evans","UTA",19.9,0.208,2.2,0.2
"511",1984,"Kevin","Murphy","UTA",-4.5,-0.272,-16.8,-0.2
"512",1620,"Martell","Webster","WAS",13.9,0.138,0.8,1.6
"513",1559,"Emeka","Okafor","WAS",15.8,0.104,-0.7,0.7
"514",37,"Bradley","Beal","WAS",13.6,0.082,0.2,1
"515",1904,"Kevin","Séraphin","WAS",10.3,0.004,-5.5,-1.5
"516",342,"Nenê","Hilário","WAS",17,0.116,1.3,1.3
"517",467,"John","Wall","WAS",20.8,0.134,3.9,2.4
"518",20,"Trevor","Ariza","WAS",14,0.102,2.1,1.6
"519",1844,"A.J.","Price","WAS",12.4,0.084,-0.6,0.5
"520",436,"Garrett","Temple","WAS",8.8,0.049,-2.3,-0.1
"521",1892,"Jordan","Crawford","WAS",14.7,0.058,0.5,0.7
"522",1947,"Chris","Singleton","WAS",7.8,0.028,-4.3,-0.6
"523",1900,"Trevor","Booker","WAS",13.9,0.126,-1,0.2
"524",1830,"Cartier","Martin","WAS",9.7,0.047,-2.1,0
"525",1954,"Jan","Veselý","WAS",7.6,0.059,-4.7,-0.4
"526",280,"Shaun","Livingston","WAS",7.4,0.028,-3.9,-0.1
"527",291,"Shelvin","Mack","WAS",10.4,0.052,-1.7,0
"528",1603,"Earl","Barron","WAS",6.9,-0.025,-8.9,-0.2
"529",1413,"Jannero","Pargo","WAS",0.2,-0.129,-10.5,-0.2
"530",1348,"Jason","Collins","WAS",2.9,0.016,-5.2,0
