"","id","first_name","last_name","team","PER","WS.48","BPM","VORP"
"87",1413,"Jannero","Pargo","CHA",14.1,-0.001,-1.9,0
"88",1367,"DeSagana","Diop","CHA",6.6,-0.017,-4.7,-0.2
"89",1945,"Cory","Higgins","CHA",12.6,-0.022,-3.3,0
"90",1504,"Matt","Carroll","CHA",2.9,0.029,-10,0
"91",444,"Tristan","Thompson","CLE",16.1,0.098,-1.8,0.1
"92",1872,"Alonzo","Gee","CLE",10.5,0.036,-2.6,-0.4
"93",228,"Kyrie","Irving","CLE",21.4,0.125,3.7,3
"94",1983,"Tyler","Zeller","CLE",11,0.048,-4,-1
"95",463,"Dion","Waiters","CLE",13.7,0.026,-2.1,-0.1
"96",316,"C.J.","Miles","CLE",15.3,0.092,1.1,1.1
"97",280,"Shaun","Livingston","CLE",14.6,0.102,-0.2,0.5
"98",144,"Wayne","Ellington","CLE",13.9,0.093,-0.5,0.4
"99",1716,"Daniel","Gibson","CLE",7.7,0.026,-3.4,-0.3
"100",1557,"Anderson","Varejão","CLE",21.7,0.173,3.7,1.3
"101",1472,"Luke","Walton","CLE",11.3,0.045,-1,0.2
"102",1818,"Marreese","Speights","CLE",18.2,0.094,-3.1,-0.2
"103",90,"Omri","Casspi","CLE",12.9,0.064,-0.1,0.2
"104",1936,"Jeremy","Pargo","CLE",11.3,-0.006,-2.7,-0.1
"105",2022,"Kevin","Jones","CLE",11.1,0.032,-4.1,-0.2
"106",1960,"Donald","Sloan","CLE",9.9,0.022,-2.9,-0.1
"107",1902,"Samardo","Samuels","CLE",6.2,-0.016,-6.2,-0.2
"108",276,"Jon","Leuer","CLE",3.3,-0.092,-9.3,-0.2
"109",1672,"Chris","Quinn","CLE",1.3,-0.124,-9.2,-0.1
"110",1811,"O.J.","Mayo","DAL",13.9,0.069,-0.5,1.1
"111",103,"Darren","Collison","DAL",16.3,0.114,0.1,1.3
"112",88,"Vince","Carter","DAL",17.8,0.137,3.1,2.6
"113",1226,"Shawn","Marion","DAL",18,0.127,2.2,2.1
"114",346,"Dirk","Nowitzki","DAL",19.8,0.145,3.1,2.2
"115",1247,"Elton","Brand","DAL",15.2,0.107,-0.9,0.4
"116",1499,"Chris","Kaman","DAL",16.3,0.058,-2.4,-0.1
"117",112,"Jae","Crowder","DAL",10.2,0.055,-1,0.3
"118",1768,"Brandan","Wright","DAL",21,0.172,2.5,1.3
"119",1394,"Mike","James","DAL",9.5,0.024,-3.5,-0.3
"121",1514,"Dahntay","Jones","DAL",6.9,0.033,-4.8,-0.4
"122",1838,"Rodrigue","Beaubois","DAL",10.6,0.032,-2.6,-0.1
"123",1981,"Bernard","James","DAL",14.7,0.125,-1.6,0
"124",1888,"Dominique","Jones","DAL",12.4,0.001,-3.4,-0.1
"125",1373,"Troy","Murphy","DAL",9.1,0.062,-1.9,0
"126",1041,"Derek","Fisher","DAL",8.7,0.016,-3.7,-0.1
"127",1823,"Anthony","Morrow","DAL",10.9,0.028,-5.7,-0.1
