"","id","date","home_team_score","period","postseason","season","status","time","visitor_team_score","home_team.id","home_team.abbreviation","home_team.city","home_team.conference","home_team.division","home_team.full_name","home_team.name","visitor_team.id","visitor_team.abbreviation","visitor_team.city","visitor_team.conference","visitor_team.division","visitor_team.full_name","visitor_team.name","team_id","elo_i","Days_Off","PER","VORP","WS48","BPM"
"1",30844,"2012-11-01T00:00:00.000Z",86,4,FALSE,2012,"Final"," ",84,27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs",21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder",21,1659.13,10,87.14375,15.375,0.830083333333333,12.0729166666667
"2",30710,"2012-11-02T00:00:00.000Z",106,4,FALSE,2012,"Final"," ",92,21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder",25,"POR","Portland","West","Northwest","Portland Trail Blazers","Trail Blazers",21,1656.1981,1,85.5666666666667,14.8208333333333,0.804604166666667,10.39375
"3",31525,"2012-11-04T00:00:00.000Z",95,4,FALSE,2012,"Final"," ",104,21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder",1,"ATL","Atlanta","East","Southeast","Atlanta Hawks","Hawks",21,1659.4091,2,87.7104166666667,15.6,0.827333333333333,12.2916666666667
"4",30984,"2012-11-06T00:00:00.000Z",108,4,FALSE,2012,"Final"," ",88,21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder",28,"TOR","Toronto","East","Atlantic","Toronto Raptors","Raptors",21,1640.704,2,76.0729166666667,11.2645833333333,0.675145833333333,3.85833333333333
"5",31394,"2012-11-08T00:00:00.000Z",91,4,FALSE,2012,"Final"," ",97,5,"CHI","Chicago","East","Central","Chicago Bulls","Bulls",21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder",21,1644.5887,2,87.0645833333333,15.4916666666667,0.831229166666667,12.3083333333333
"6",30079,"2012-11-09T00:00:00.000Z",105,4,FALSE,2012,"Final"," ",94,21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder",9,"DET","Detroit","East","Central","Detroit Pistons","Pistons",21,1653.8605,1,84.2395833333333,14.3520833333333,0.77875,10.025
"7",30721,"2012-11-11T00:00:00.000Z",106,4,FALSE,2012,"Final"," ",91,21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder",6,"CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers",21,1655.8643,2,85.5,14.68125,0.792083333333333,10.4916666666667
"8",31399,"2012-11-12T00:00:00.000Z",90,4,FALSE,2012,"Final"," ",92,9,"DET","Detroit","East","Central","Detroit Pistons","Pistons",21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder",21,1657.7334,1,90.9270833333333,16.9416666666667,0.8638125,14.2083333333333
"9",31261,"2012-11-14T00:00:00.000Z",97,4,FALSE,2012,"Final"," ",107,21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder",15,"MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies",21,1660.1361,2,90.39375,16.4458333333333,0.849666666666667,13.3104166666667
"10",30626,"2012-11-16T00:00:00.000Z",95,4,FALSE,2012,"Final"," ",110,19,"NOP","New Orleans","West","Southwest","New Orleans Pelicans","Pelicans",21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder",21,1643.9785,2,79.4083333333334,12.225,0.730291666666667,6.2625
