"","id","date","home_team_score","period","postseason","season","status","time","visitor_team_score","home_team.id","home_team.abbreviation","home_team.city","home_team.conference","home_team.division","home_team.full_name","home_team.name","visitor_team.id","visitor_team.abbreviation","visitor_team.city","visitor_team.conference","visitor_team.division","visitor_team.full_name","visitor_team.name","team_id","elo_i","Days_Off","PER","VORP","WS48","BPM"
"1",30611,"2012-10-31T00:00:00.000Z",93,4,FALSE,2012,"Final"," ",87,5,"CHI","Chicago","East","Central","Chicago Bulls","Bulls",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1417.2316,10,72.9354166666667,2.97291666666667,0.321916666666667,-5.02291666666667
"2",31523,"2012-11-02T00:00:00.000Z",92,4,FALSE,2012,"Final"," ",80,18,"MIN","Minnesota","West","Northwest","Minnesota Timberwolves","Timberwolves",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1415.1243,2,72.6895833333333,2.76041666666667,0.324875,-4.79166666666667
"3",31659,"2012-11-03T00:00:00.000Z",106,4,FALSE,2012,"Final"," ",98,12,"IND","Indiana","East","Central","Indiana Pacers","Pacers",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1407.2527,1,89.00625,4.0625,0.414645833333333,-4.23958333333333
"4",30077,"2012-11-05T00:00:00.000Z",94,4,FALSE,2012,"Final"," ",92,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",10,"GSW","Golden State","West","Pacific","Golden State Warriors","Warriors",26,1404.3691,2,72.8541666666667,2.74583333333333,0.310666666666667,-5.38125
"5",30619,"2012-11-07T00:00:00.000Z",105,4,FALSE,2012,"Final"," ",103,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",9,"DET","Detroit","East","Central","Detroit Pistons","Pistons",26,1408.0342,2,73.2375,2.73125,0.3066875,-5.32916666666667
"6",31396,"2012-11-09T00:00:00.000Z",86,4,FALSE,2012,"Final"," ",97,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs",26,1411.2153,2,72.6104166666667,2.99791666666667,0.345208333333333,-3.92083333333333
"7",31121,"2012-11-11T00:00:00.000Z",103,4,FALSE,2012,"Final"," ",90,14,"LAL","Los Angeles","West","Pacific","Los Angeles Lakers","Lakers",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1405.6838,2,66.475,1.70208333333333,0.283916666666667,-6.75416666666667
"8",31123,"2012-11-13T00:00:00.000Z",86,4,FALSE,2012,"Final"," ",103,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",25,"POR","Portland","West","Northwest","Portland Trail Blazers","Trail Blazers",26,1401.1909,2,64.8708333333333,1.07708333333333,0.231229166666667,-9.15
"9",31402,"2012-11-16T00:00:00.000Z",96,4,FALSE,2012,"Final"," ",112,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",1,"ATL","Atlanta","East","Southeast","Atlanta Hawks","Hawks",26,1383.1346,3,72.94375,2.43333333333333,0.317291666666667,-5.85416666666667
"10",30628,"2012-11-18T00:00:00.000Z",90,4,FALSE,2012,"Final"," ",99,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",3,"BKN","Brooklyn","East","Atlantic","Brooklyn Nets","Nets",26,1372.0076,2,71.6208333333333,2.38958333333333,0.305166666666667,-6.00833333333333
"11",30631,"2012-11-21T00:00:00.000Z",113,4,FALSE,2012,"Final"," ",97,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",14,"LAL","Los Angeles","West","Pacific","Los Angeles Lakers","Lakers",26,1360.87,3,69.5958333333333,2.0125,0.308041666666667,-6.42083333333333
"12",31267,"2012-11-23T00:00:00.000Z",104,4,FALSE,2012,"Final"," ",102,29,"UTA","Utah","West","Northwest","Utah Jazz","Jazz",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1379.5699,2,69.9708333333333,1.89375,0.291479166666667,-6.67291666666667
"13",30730,"2012-11-24T00:00:00.000Z",108,4,FALSE,2012,"Final"," ",97,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",29,"UTA","Utah","West","Northwest","Utah Jazz","Jazz",26,1378.1519,1,70.3854166666667,2.12291666666667,0.299604166666667,-6.45833333333333
"14",31935,"2012-11-27T00:00:00.000Z",89,4,FALSE,2012,"Final"," ",97,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",18,"MIN","Minnesota","West","Northwest","Minnesota Timberwolves","Timberwolves",26,1392.0769,3,71.3645833333333,2.6875,0.338520833333333,-4.95
"15",31414,"2012-11-30T00:00:00.000Z",92,4,FALSE,2012,"Final"," ",97,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",12,"IND","Indiana","East","Central","Indiana Pacers","Pacers",26,1380.1603,3,66.1145833333333,0.902083333333333,0.236333333333333,-9.06666666666667
"16",30736,"2012-12-01T00:00:00.000Z",116,4,FALSE,2012,"Final"," ",81,13,"LAC","LA","West","Pacific","LA Clippers","Clippers",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1374.6815,1,66.25625,1.19583333333333,0.287145833333333,-7.68333333333333
"17",32343,"2012-12-05T00:00:00.000Z",107,4,FALSE,2012,"Final"," ",100,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",28,"TOR","Toronto","East","Atlantic","Toronto Raptors","Raptors",26,1368.7756,4,71.2791666666667,1.97291666666667,0.294979166666667,-6.80625
"18",31279,"2012-12-07T00:00:00.000Z",91,4,FALSE,2012,"Final"," ",82,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",22,"ORL","Orlando","East","Southeast","Orlando Magic","Magic",26,1375.3167,2,69.7458333333333,1.78541666666667,0.313666666666667,-6.44166666666667
"19",31420,"2012-12-08T00:00:00.000Z",80,4,FALSE,2012,"Final"," ",99,25,"POR","Portland","West","Northwest","Portland Trail Blazers","Trail Blazers",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1383.696,1,66.9854166666667,1.36666666666667,0.285979166666667,-7.11875
"20",31146,"2012-12-10T00:00:00.000Z",119,4,FALSE,2012,"Final"," ",96,7,"DAL","Dallas","West","Southwest","Dallas Mavericks","Mavericks",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1409.7419,2,66.7104166666667,1.3125,0.273791666666667,-7.34791666666667
"21",30643,"2012-12-12T00:00:00.000Z",98,4,FALSE,2012,"Final"," ",85,17,"MIL","Milwaukee","East","Central","Milwaukee Bucks","Bucks",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1401.4164,2,62.1895833333333,0.558333333333333,0.234833333333333,-9.58333333333333
"22",31283,"2012-12-14T00:00:00.000Z",113,4,FALSE,2012,"Final"," ",103,21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1396.238,2,69.0541666666667,2.00416666666667,0.289458333333333,-6.62291666666667
"23",30106,"2012-12-16T00:00:00.000Z",97,4,FALSE,2012,"Final"," ",122,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",8,"DEN","Denver","West","Northwest","Denver Nuggets","Nuggets",26,1394.7769,2,68.1583333333333,1.51875,0.267895833333333,-7.6
"24",30748,"2012-12-17T00:00:00.000Z",101,4,FALSE,2012,"Final"," ",90,24,"PHX","Phoenix","West","Pacific","Phoenix Suns","Suns",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1380.7902,1,64.775,0.833333333333333,0.246,-8.85208333333333
"25",31155,"2012-12-19T00:00:00.000Z",131,4,FALSE,2012,"Final"," ",127,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",10,"GSW","Golden State","West","Pacific","Golden State Warriors","Warriors",26,1375.8761,2,69.5729166666667,1.71458333333333,0.316291666666667,-6.17916666666667
"26",30650,"2012-12-21T00:00:00.000Z",97,4,FALSE,2012,"Final"," ",85,13,"LAC","LA","West","Pacific","LA Clippers","Clippers",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1383.4259,2,66.8041666666667,1.15625,0.264729166666667,-8.4625
"27",32358,"2012-12-23T00:00:00.000Z",108,4,FALSE,2012,"Final"," ",96,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",25,"POR","Portland","West","Northwest","Portland Trail Blazers","Trail Blazers",26,1381.4059,2,62.75625,0.689583333333333,0.226645833333333,-9.90625
"28",31294,"2012-12-26T00:00:00.000Z",109,4,FALSE,2012,"Final"," ",91,25,"POR","Portland","West","Northwest","Portland Trail Blazers","Trail Blazers",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1392.1779,3,62.4125,0.752083333333333,0.240395833333333,-9.16666666666667
"29",27183,"2012-12-28T00:00:00.000Z",106,4,FALSE,2012,"Final"," ",105,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",20,"NYK","New York","East","Atlantic","New York Knicks","Knicks",26,1384.4106,2,69.575,1.83333333333333,0.286375,-6.15208333333333
"30",30759,"2012-12-30T00:00:00.000Z",118,4,FALSE,2012,"Final"," ",96,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",2,"BOS","Boston","East","Atlantic","Boston Celtics","Celtics",26,1390.4541,2,69.5354166666667,1.84166666666667,0.292583333333333,-6.79583333333333
"31",32480,"2013-01-01T00:00:00.000Z",103,4,FALSE,2012,"Final"," ",97,9,"DET","Detroit","East","Central","Detroit Pistons","Pistons",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1410.3005,2,67.8291666666667,1.27708333333333,0.263625,-7.53333333333333
"32",30659,"2013-01-02T00:00:00.000Z",94,4,FALSE,2012,"Final"," ",97,6,"CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1405.8519,1,65.8208333333333,1.075,0.266625,-7.69166666666667
"33",27197,"2013-01-04T00:00:00.000Z",96,4,FALSE,2012,"Final"," ",105,28,"TOR","Toronto","East","Atlantic","Toronto Raptors","Raptors",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1411.8928,2,65.8875,0.916666666666667,0.22725,-9.6625
"34",32483,"2013-01-05T00:00:00.000Z",113,4,FALSE,2012,"Final"," ",93,3,"BKN","Brooklyn","East","Atlantic","Brooklyn Nets","Nets",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1428.0138,1,64.75,0.860416666666667,0.21475,-9.95833333333333
"35",32101,"2013-01-07T00:00:00.000Z",81,4,FALSE,2012,"Final"," ",113,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",15,"MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies",26,1419.5831,2,66.20625,1.40833333333333,0.230229166666667,-9.56666666666667
"36",32104,"2013-01-10T00:00:00.000Z",112,4,FALSE,2012,"Final"," ",117,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",7,"DAL","Dallas","West","Southwest","Dallas Mavericks","Mavericks",26,1403.7905,3,78.00625,2.76458333333333,0.350083333333333,-5.52916666666667
"37",27208,"2013-01-12T00:00:00.000Z",99,4,FALSE,2012,"Final"," ",128,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",16,"MIA","Miami","East","Southeast","Miami Heat","Heat",26,1394.5538,2,71.65,2.6125,0.290875,-6.58333333333333
"38",32108,"2013-01-14T00:00:00.000Z",124,4,FALSE,2012,"Final"," ",118,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",6,"CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers",26,1381.3666,2,72.5583333333334,2.65833333333333,0.333666666666667,-5.33541666666667
"39",32239,"2013-01-16T00:00:00.000Z",95,4,FALSE,2012,"Final"," ",94,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",30,"WAS","Washington","East","Southeast","Washington Wizards","Wizards",26,1385.4955,2,73.5166666666667,2.98958333333333,0.348104166666667,-3.92708333333333
"40",32494,"2013-01-18T00:00:00.000Z",85,4,FALSE,2012,"Final"," ",69,15,"MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1387.9043,2,72.8229166666667,2.7875,0.326291666666667,-4.83125
"41",27342,"2013-01-19T00:00:00.000Z",93,4,FALSE,2012,"Final"," ",97,4,"CHA","Charlotte","East","Southeast","Charlotte Hornets","Hornets",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1384.433,1,73.5291666666667,2.94375,0.338708333333333,-4.03958333333333
"42",32114,"2013-01-21T00:00:00.000Z",114,4,FALSE,2012,"Final"," ",105,19,"NOP","New Orleans","West","Southwest","New Orleans Pelicans","Pelicans",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1390.4375,2,74.5375,3.31875,0.343770833333333,-3.89166666666667
"43",31315,"2013-01-23T00:00:00.000Z",96,4,FALSE,2012,"Final"," ",106,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",24,"PHX","Phoenix","West","Pacific","Phoenix Suns","Suns",26,1385.3484,2,71.4958333333333,2.60416666666667,0.2918125,-6.1625
"44",32499,"2013-01-25T00:00:00.000Z",95,4,FALSE,2012,"Final"," ",105,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder",26,1372.7185,2,73.55,2.43125,0.310145833333333,-6.03541666666667
"45",27486,"2013-01-26T00:00:00.000Z",121,4,FALSE,2012,"Final"," ",93,8,"DEN","Denver","West","Northwest","Denver Nuggets","Nuggets",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1369.2791,1,66.66875,1.62708333333333,0.262604166666667,-7.50625
"46",27488,"2013-01-28T00:00:00.000Z",94,4,FALSE,2012,"Final"," ",96,30,"WAS","Washington","East","Southeast","Washington Wizards","Wizards",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1365.4221,2,72.4625,3.13333333333333,0.332520833333333,-4.32291666666667
"47",27237,"2013-01-30T00:00:00.000Z",99,4,FALSE,2012,"Final"," ",81,2,"BOS","Boston","East","Atlantic","Boston Celtics","Celtics",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1372.9724,2,74.5395833333333,3.47916666666667,0.354166666666667,-3.23541666666667
"48",27239,"2013-02-01T00:00:00.000Z",89,4,FALSE,2012,"Final"," ",80,23,"PHI","Philadelphia","East","Atlantic","Philadelphia 76ers","76ers",26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",26,1367.3629,2,75.5291666666667,3.55416666666667,0.378645833333333,-2.60208333333333
