"","last_name","first_name","team","PER","WS.48","BPM","VORP"
"422","Haddadi","Hamed","PHO",11.2,0,-6.5,-0.3
"423","Garrett","Diante","PHO",9,-0.073,-4.4,-0.1
"424","Zeller","Luke","PHO",5.6,-0.047,-7.2,-0.1
"425","Lillard","Damian","POR",16.4,0.088,0.3,1.8
"426","Batum","Nicolas","POR",15.7,0.099,2.8,3.4
"427","Aldridge","LaMarcus","POR",20.4,0.124,1.3,2.3
"428","Matthews","Wesley","POR",14.1,0.093,0.5,1.5
"429","Hickson","J.J.","POR",19.7,0.142,0.2,1.3
"430","Leonard","Meyers","POR",12.1,0.097,-3.3,-0.4
"431","Barton","Will","POR",9.1,-0.028,-4.6,-0.6
"432","Claver","Victor","POR",7,-0.005,-3.7,-0.3
"433","Babbitt","Luke","POR",9.4,0.047,-2.4,-0.1
"434","Maynor","Eric","POR",10.6,0.016,-4.2,-0.3
"435","Pavlović","Sasha","POR",6.2,0.009,-3.3,-0.2
"436","Price","Ronnie","POR",6.8,-0.017,-4.9,-0.4
"437","Freeland","Joel","POR",9.3,0.022,-5.4,-0.4
"438","Jeffries","Jared","POR",2.4,-0.042,-7.4,-0.5
"439","Smith","Nolan","POR",7.1,-0.082,-6.9,-0.4
"440","Cousins","DeMarcus","SAC",20.2,0.092,0.2,1.2
"441","Thompson","Jason","SAC",14.6,0.075,-2.6,-0.3
"442","Salmons","John","SAC",10.2,0.034,-2.5,-0.3
"443","Thomas","Isaiah","SAC",17.5,0.114,0.5,1.3
"444","Evans","Tyreke","SAC",18.1,0.105,1.8,1.9
"445","Thornton","Marcus","SAC",16.3,0.089,0.3,1
"446","Hayes","Chuck","SAC",10.7,0.06,-1.4,0.2
"447","Fredette","Jimmer","SAC",14.6,0.052,-1.3,0.2
"448","Brooks","Aaron","SAC",12.1,0.045,-2.1,0
"449","Johnson","James","SAC",10.2,-0.028,-3.5,-0.3
"450","Robinson","Thomas","SAC",10.6,-0.01,-5.6,-0.7
"451","García","Francisco","SAC",10.5,0.04,-0.6,0.3
"452","Patterson","Patrick","SAC",14.5,0.09,-0.6,0.2
"453","Outlaw","Travis","SAC",13,0.037,-2.4,0
"454","Douglas","Toney","SAC",16,0.11,1.8,0.4
"455","Aldrich","Cole","SAC",15.7,0.109,-0.5,0.1
"456","Honeycutt","Tyler","SAC",1.9,-0.22,-13.2,-0.1
"457","Green","Danny","SAS",14.1,0.128,2.8,2.7
"458","Parker","Tony","SAS",23,0.206,3.6,3.1
"459","Duncan","Tim","SAS",24.4,0.191,5.3,3.8
"460","Splitter","Tiago","SAS",18.7,0.197,2.2,2.1
"461","Leonard","Kawhi","SAS",16.4,0.166,3.1,2.3
"462","Diaw","Boris","SAS",11.9,0.124,0.8,1.2
"463","Neal","Gary","SAS",11.5,0.06,-2,0
"464","Ginóbili","Manu","SAS",19,0.155,3.6,2
"465","Jackson","Stephen","SAS",8,0.013,-3.5,-0.4
"466","De","Nando","SAS",11.1,0.07,-1.2,0.2
"467","Bonner","Matt","SAS",11.8,0.133,0.2,0.5
"468","Blair","DeJuan","SAS",14.6,0.126,-1.6,0.1
"469","Mills","Patty","SAS",14.1,0.109,0.2,0.4
"470","Joseph","Cory","SAS",13.5,0.113,-0.4,0.2
"471","Baynes","Aron","SAS",8.8,0.05,-7,-0.2
"472","Anderson","James","SAS",13,0.109,0.4,0.1
"473","DeRozan","DeMar","TOR",14.7,0.075,-1.4,0.4
"474","Johnson","Amir","TOR",17.3,0.151,1,1.8
"475","Lowry","Kyle","TOR",17.5,0.133,2.9,2.5
"476","Anderson","Alan","TOR",12.6,0.052,-1.8,0.1
"477","Valančiūnas","Jonas","TOR",15.6,0.127,-1.2,0.3
"478","Calderón","José","TOR",19.2,0.167,3.6,1.8
"479","Ross","Terrence","TOR",10.4,0.034,-2.5,-0.1
"480","Gay","Rudy","TOR",17.6,0.068,1.9,1.1
"481","Davis","Ed","TOR",18.1,0.147,0.4,0.6
"482","Fields","Landry","TOR",10.3,0.052,-1.8,0.1
"483","Bargnani","Andrea","TOR",11.2,0.007,-2.7,-0.2
"484","Lucas","John","TOR",12.8,0.061,-0.6,0.3
"485","Gray","Aaron","TOR",9,0.05,-4.3,-0.3
"486","Piétrus","Mickaël","TOR",6,-0.004,-4.8,-0.3
"487","Kleiza","Linas","TOR",8.2,0.013,-5.4,-0.3
"488","Acy","Quincy","TOR",15.9,0.157,0.1,0.2
"489","McGuire","Dominic","TOR",7.5,0.045,-2.8,0
"490","Telfair","Sebastian","TOR",10.7,0.029,-1.7,0
"491","Jefferson","Al","UTA",20.9,0.143,2.4,2.8
"492","Millsap","Paul","UTA",19.8,0.154,2.7,2.8
"493","Foye","Randy","UTA",11.7,0.08,-0.6,0.8
"494","Hayward","Gordon","UTA",16.8,0.123,2,2.1
"495","Favors","Derrick","UTA",17.5,0.117,-0.5,0.7
"496","Williams","Marvin","UTA",10.9,0.063,-1.2,0.4
"497","Williams","Mo","UTA",14.4,0.062,-0.9,0.4
"498","Tinsley","Jamaal","UTA",10.6,0.035,-1.5,0.2
"499","Burks","Alec","UTA",11.5,0.044,-2.6,-0.2
"500","Carroll","DeMarre","UTA",15.5,0.134,1.3,0.9
"501","Kanter","Enes","UTA",17.6,0.101,-2.1,0
"502","Watson","Earl","UTA",7.7,0.001,-3.5,-0.3
"503","Evans","Jeremy","UTA",19.9,0.208,2.2,0.2
"504","Murphy","Kevin","UTA",-4.5,-0.272,-16.8,-0.2
"505","Webster","Martell","WAS",13.9,0.138,0.8,1.6
"506","Okafor","Emeka","WAS",15.8,0.104,-0.7,0.7
"507","Beal","Bradley","WAS",13.6,0.082,0.2,1
"508","Séraphin","Kevin","WAS",10.3,0.004,-5.5,-1.5
"509","Hilário","Nenê","WAS",17,0.116,1.3,1.3
"510","Wall","John","WAS",20.8,0.134,3.9,2.4
"511","Ariza","Trevor","WAS",14,0.102,2.1,1.6
"512","Price","A.J.","WAS",12.4,0.084,-0.6,0.5
"513","Temple","Garrett","WAS",8.8,0.049,-2.3,-0.1
"514","Crawford","Jordan","WAS",14.7,0.058,0.5,0.7
"515","Singleton","Chris","WAS",7.8,0.028,-4.3,-0.6
"516","Booker","Trevor","WAS",13.9,0.126,-1,0.2
"517","Martin","Cartier","WAS",9.7,0.047,-2.1,0
"518","Veselý","Jan","WAS",7.6,0.059,-4.7,-0.4
"519","Livingston","Shaun","WAS",7.4,0.028,-3.9,-0.1
"520","Mack","Shelvin","WAS",10.4,0.052,-1.7,0
"521","Barron","Earl","WAS",6.9,-0.025,-8.9,-0.2
"522","Pargo","Jannero","WAS",0.2,-0.129,-10.5,-0.2
"523","Collins","Jason","WAS",2.9,0.016,-5.2,0
