"","last_name","first_name","team","PER","WS.48","BPM","VORP"
"97","Gibson","Daniel","CLE",7.7,0.026,-3.4,-0.3
"98","Varejão","Anderson","CLE",21.7,0.173,3.7,1.3
"99","Walton","Luke","CLE",11.3,0.045,-1,0.2
"100","Speights","Marreese","CLE",18.2,0.094,-3.1,-0.2
"101","Casspi","Omri","CLE",12.9,0.064,-0.1,0.2
"102","Pargo","Jeremy","CLE",11.3,-0.006,-2.7,-0.1
"103","Jones","Kevin","CLE",11.1,0.032,-4.1,-0.2
"104","Sloan","Donald","CLE",9.9,0.022,-2.9,-0.1
"105","Samuels","Samardo","CLE",6.2,-0.016,-6.2,-0.2
"106","Leuer","Jon","CLE",3.3,-0.092,-9.3,-0.2
"107","Quinn","Chris","CLE",1.3,-0.124,-9.2,-0.1
"108","Mayo","O.J.","DAL",13.9,0.069,-0.5,1.1
"109","Collison","Darren","DAL",16.3,0.114,0.1,1.3
"110","Carter","Vince","DAL",17.8,0.137,3.1,2.6
"111","Marion","Shawn","DAL",18,0.127,2.2,2.1
"112","Nowitzki","Dirk","DAL",19.8,0.145,3.1,2.2
"113","Brand","Elton","DAL",15.2,0.107,-0.9,0.4
"114","Kaman","Chris","DAL",16.3,0.058,-2.4,-0.1
"115","Crowder","Jae","DAL",10.2,0.055,-1,0.3
"116","Wright","Brandan","DAL",21,0.172,2.5,1.3
"117","James","Mike","DAL",9.5,0.024,-3.5,-0.3
"118","Jones","Dahntay","DAL",6.9,0.033,-4.8,-0.4
"119","Beaubois","Rodrigue","DAL",10.6,0.032,-2.6,-0.1
"120","James","Bernard","DAL",14.7,0.125,-1.6,0
"121","Jones","Dominique","DAL",12.4,0.001,-3.4,-0.1
"122","Murphy","Troy","DAL",9.1,0.062,-1.9,0
"123","Fisher","Derek","DAL",8.7,0.016,-3.7,-0.1
"124","Morrow","Anthony","DAL",10.9,0.028,-5.7,-0.1
"125","Douglas-Roberts","Chris","DAL",8.3,0.041,-3.8,0
"126","Cunningham","Jared","DAL",14.8,0.033,-1.5,0
"127","Curry","Eddy","DAL",-0.2,-0.146,-14.9,-0.1
"128","Akognon","Josh","DAL",15.3,0.196,-3,0
"129","Dentmon","Justin","DAL",-19.4,-0.571,-24.7,0
"130","Wright","Chris","DAL",-1.9,-0.375,-19.2,0
"131","Iguodala","Andre","DEN",15.2,0.097,2.6,3.3
"132","Lawson","Ty","DEN",17.9,0.141,2,2.5
"133","Gallinari","Danilo","DEN",16.7,0.151,2.8,2.8
"134","Faried","Kenneth","DEN",18.5,0.167,1.1,1.7
"135","Miller","Andre","DEN",15.7,0.12,0.9,1.6
"136","Brewer","Corey","DEN",14.7,0.093,0.4,1.2
"137","Koufos","Kosta","DEN",17.2,0.171,0.6,1.2
"138","McGee","JaVale","DEN",20.7,0.163,1.6,1.3
"139","Chandler","Wilson","DEN",16.6,0.137,0.5,0.7
"140","Fournier","Evan","DEN",13.8,0.115,-1.4,0.1
"141","Hamilton","Jordan","DEN",16.9,0.1,0.9,0.3
"142","Mozgov","Timofey","DEN",12.3,0.096,-3.7,-0.2
"143","Randolph","Anthony","DEN",15.6,0.073,-2.9,-0.1
"144","Stone","Julyan","DEN",11.4,0.128,-0.1,0
"145","Miller","Quincy","DEN",5.9,-0.051,-9.2,0
"146","Monroe","Greg","DET",19.5,0.105,1.8,2.6
"147","Knight","Brandon","DET",12,0.022,-2.8,-0.5
"148","Singler","Kyle","DET",10,0.048,-3,-0.6
"149","Stuckey","Rodney","DET",13,0.055,-1.8,0.1
"150","Maxiell","Jason","DET",11.3,0.047,-3.4,-0.6
"151","Prince","Tayshaun","DET",12.5,0.057,-1.4,0.2
"152","Drummond","Andre","DET",21.6,0.172,2.5,1.4
"153","Bynum","Will","DET",16.6,0.067,-1,0.3
"154","Villanueva","Charlie","DET",14,0.069,0,0.6
"155","Jerebko","Jonas","DET",15.7,0.107,-0.1,0.4
"156","Calderón","José","DET",18.2,0.163,2.5,1
"157","Middleton","Khris","DET",11.4,0.089,-1.9,0
"158","English","Kim","DET",7.9,0.021,-4.2,-0.2
"159","Daye","Austin","DET",12.6,0.108,-0.2,0.2
"160","Maggette","Corey","DET",7.9,0.017,-5.9,-0.2
"161","Kravtsov","Viacheslav","DET",14.4,0.086,-2,0
"162","Curry","Stephen","GSW",21.3,0.18,5.4,5.6
"163","Thompson","Klay","GSW",12.7,0.07,-0.3,1.3
"164","Lee","David","GSW",19.2,0.15,1.8,2.8
"165","Jack","Jarrett","GSW",15.9,0.115,0.5,1.4
"166","Barnes","Harrison","GSW",11,0.065,-1.7,0.1
"167","Landry","Carl","GSW",17.5,0.159,-0.2,0.8
"168","Ezeli","Festus","GSW",9.3,0.066,-3.4,-0.4
"169","Green","Draymond","GSW",7.1,0.028,-3.6,-0.4
"170","Bogut","Andrew","GSW",13.8,0.106,1.4,0.7
"171","Jefferson","Richard","GSW",10.3,0.081,-1.3,0.1
"172","Biedriņš","Andris","GSW",7.7,0.102,-1,0.1
"173","Jenkins","Charles","GSW",6.9,-0.018,-5.4,-0.3
