"","id","date","home_team_score","period","postseason","season","status","time","visitor_team_score","home_team.id","home_team.abbreviation","home_team.city","home_team.conference","home_team.division","home_team.full_name","home_team.name","visitor_team.id","visitor_team.abbreviation","visitor_team.city","visitor_team.conference","visitor_team.division","visitor_team.full_name","visitor_team.name","team_id","elo_i","Days_Off","PER","VORP","WS48","BPM"
"1",30070,"2012-10-30T00:00:00.000Z",120,4,FALSE,2012,"Final"," ",107,16,"MIA","Miami","East","Southeast","Miami Heat","Heat",2,"BOS","Boston","East","Atlantic","Boston Celtics","Celtics",16,1660.3782,10,85.6666666666667,12.5125,0.770604166666667,10.0041666666667
"2",30614,"2012-11-02T00:00:00.000Z",104,4,FALSE,2012,"Final"," ",84,20,"NYK","New York","East","Atlantic","New York Knicks","Knicks",16,"MIA","Miami","East","Southeast","Miami Heat","Heat",16,1666.3193,3,83.8020833333333,12.4125,0.7405625,8.64583333333333
"3",30076,"2012-11-03T00:00:00.000Z",119,4,FALSE,2012,"Final"," ",116,16,"MIA","Miami","East","Southeast","Miami Heat","Heat",8,"DEN","Denver","West","Northwest","Denver Nuggets","Nuggets",16,1647.6675,1,91.61875,14.8041666666667,0.8400625,13.6791666666667
"4",31255,"2012-11-05T00:00:00.000Z",124,4,FALSE,2012,"Final"," ",99,16,"MIA","Miami","East","Southeast","Miami Heat","Heat",24,"PHX","Phoenix","West","Pacific","Phoenix Suns","Suns",16,1650.0934,2,79.8104166666667,11.01875,0.695604166666667,5.99791666666667
"5",31661,"2012-11-07T00:00:00.000Z",103,4,FALSE,2012,"Final"," ",73,16,"MIA","Miami","East","Southeast","Miami Heat","Heat",3,"BKN","Brooklyn","East","Atlantic","Brooklyn Nets","Nets",16,1656.5652,2,80.41875,10.9895833333333,0.704854166666667,6.57083333333333
"6",31528,"2012-11-09T00:00:00.000Z",89,4,FALSE,2012,"Final"," ",95,1,"ATL","Atlanta","East","Southeast","Atlanta Hawks","Hawks",16,"MIA","Miami","East","Southeast","Miami Heat","Heat",16,1659.7239,2,78.56875,10.4916666666667,0.722145833333333,6.6375
"7",31398,"2012-11-11T00:00:00.000Z",104,4,FALSE,2012,"Final"," ",86,15,"MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies",16,"MIA","Miami","East","Southeast","Miami Heat","Heat",16,1667.33,2,84.4625,12.2854166666667,0.745416666666667,8.28125
"8",30623,"2012-11-12T00:00:00.000Z",110,4,FALSE,2012,"Final"," ",113,11,"HOU","Houston","West","Southwest","Houston Rockets","Rockets",16,"MIA","Miami","East","Southeast","Miami Heat","Heat",16,1654.2471,1,88.84375,14.4020833333333,0.805458333333333,12.1583333333333
"9",30082,"2012-11-14T00:00:00.000Z",107,4,FALSE,2012,"Final"," ",100,13,"LAC","LA","West","Pacific","LA Clippers","Clippers",16,"MIA","Miami","East","Southeast","Miami Heat","Heat",16,1658.7794,2,86.3083333333333,13.6416666666667,0.7809375,10.26875
"10",30083,"2012-11-15T00:00:00.000Z",93,4,FALSE,2012,"Final"," ",98,8,"DEN","Denver","West","Northwest","Denver Nuggets","Nuggets",16,"MIA","Miami","East","Southeast","Miami Heat","Heat",16,1651.2421,1,77.94375,11.0125,0.708645833333333,6.84791666666666
